k141_185412_1	k141_185412_1
k141_300_3	k141_300_3
k141_300_4	k141_300_4
k141_300_5	k141_300_5
k141_300_6	k141_300_6
k141_185892_1	k141_185892_1
k141_371184_1	k141_371184_1
k141_371184_2	k141_371184_2
k141_371187_1	k141_371187_1
k141_185984_1	k141_185984_1
k141_185984_2	k141_185984_2
k141_185984_3	k141_185984_3
k141_741719_4	k141_741719_4
k141_741719_8	k141_741719_8
k141_741719_9	k141_741719_9
k141_371393_2	k141_371393_2
k141_371393_3	k141_371393_3
k141_1112127_1	k141_1112127_1
k141_1112127_2	k141_1112127_2
k141_633_3	k141_633_3
k141_186483_3	k141_186483_3
k141_186493_1	k141_186493_1
k141_186493_11	k141_186493_11
k141_186506_2	k141_186506_2
k141_557122_1	k141_557122_1
k141_186571_1	k141_186571_1
k141_557204_1	k141_557204_1
k141_927598_2	k141_927598_2
k141_186642_1	k141_186642_1
k141_186642_3	k141_186642_3
k141_186642_4	k141_186642_4
k141_186642_5	k141_186642_5
k141_186642_6	k141_186642_6
k141_927685_1	k141_927685_1
k141_742599_1	k141_742599_1
k141_1112639_1	k141_1112639_1
k141_1112639_2	k141_1112639_2
k141_1112639_3	k141_1112639_3
k141_372162_2	k141_372162_2
k141_927772_2	k141_927772_2
k141_742812_1	k141_742812_1
k141_1151_1	k141_1151_1
k141_1112840_1	k141_1112840_1
k141_1112840_2	k141_1112840_2
k141_1187_1	k141_1187_1
k141_1112880_2	k141_1112880_2
k141_1112880_3	k141_1112880_3
k141_372333_1	k141_372333_1
k141_1112967_1	k141_1112967_1
k141_1112967_2	k141_1112967_2
k141_1112967_3	k141_1112967_3
k141_1112967_4	k141_1112967_4
k141_1112967_5	k141_1112967_5
k141_1112967_6	k141_1112967_6
k141_557770_2	k141_557770_2
k141_557770_3	k141_557770_3
k141_557779_1	k141_557779_1
k141_743194_2	k141_743194_2
k141_557826_2	k141_557826_2
k141_557826_3	k141_557826_3
k141_743274_1	k141_743274_1
k141_743274_2	k141_743274_2
k141_743288_1	k141_743288_1
k141_743295_1	k141_743295_1
k141_743295_2	k141_743295_2
k141_743295_5	k141_743295_5
k141_743295_6	k141_743295_6
k141_372597_3	k141_372597_3
k141_187544_1	k141_187544_1
k141_928275_1	k141_928275_1
k141_928275_2	k141_928275_2
k141_928275_3	k141_928275_3
k141_187579_2	k141_187579_2
k141_187646_2	k141_187646_2
k141_187686_1	k141_187686_1
k141_187686_2	k141_187686_2
k141_187686_3	k141_187686_3
k141_187690_1	k141_187690_1
k141_187690_2	k141_187690_2
k141_187698_1	k141_187698_1
k141_187698_3	k141_187698_3
k141_1681_1	k141_1681_1
k141_928581_1	k141_928581_1
k141_1113452_1	k141_1113452_1
k141_743885_1	k141_743885_1
k141_743885_2	k141_743885_2
k141_188019_1	k141_188019_1
k141_743929_3	k141_743929_3
k141_743946_1	k141_743946_1
k141_743946_2	k141_743946_2
k141_743946_3	k141_743946_3
k141_743946_4	k141_743946_4
k141_743946_5	k141_743946_5
k141_929080_1	k141_929080_1
k141_929080_2	k141_929080_2
k141_558859_1	k141_558859_1
k141_558859_3	k141_558859_3
k141_188184_2	k141_188184_2
k141_188184_5	k141_188184_5
k141_558943_1	k141_558943_1
k141_1113959_1	k141_1113959_1
k141_1113959_2	k141_1113959_2
k141_929196_1	k141_929196_1
k141_2205_5	k141_2205_5
k141_373316_1	k141_373316_1
k141_188319_1	k141_188319_1
k141_929253_1	k141_929253_1
k141_188383_1	k141_188383_1
k141_188383_2	k141_188383_2
k141_744440_1	k141_744440_1
